time,ax,ay,az,gx,gy,gz,target
5,4900,680,14572,24,13,-380,rest
17,4656,720,14888,103,-1,-450,rest
30,4460,828,14560,124,0,-452,rest
61,4368,760,14804,110,124,-271,rest
101,4380,736,14756,92,-279,-264,rest
141,4568,784,14572,278,-78,-313,rest
182,4352,804,14544,159,-74,-228,rest
222,4256,888,14976,191,-143,-179,rest
264,4516,700,14680,172,-123,-109,rest
306,4464,796,14696,243,-158,-340,rest
347,4312,888,14556,204,-239,-40,rest
388,4580,740,15200,221,-338,-185,rest
430,4352,780,14276,147,-381,-204,rest
471,4776,552,14600,219,-350,-139,rest
513,4508,804,14496,102,-588,-397,rest
553,4072,956,14920,93,-341,-111,rest
594,4472,844,14612,-93,-851,-66,rest
635,4452,868,14680,114,-496,-242,rest
676,4780,648,14656,161,-374,-116,rest
718,4604,732,14368,151,-367,-320,rest
760,4848,596,14768,86,-336,-384,rest
800,4308,908,14612,99,-321,-265,rest
841,4608,672,14728,153,-86,-200,rest
881,4408,672,14768,223,-270,-101,rest
923,4748,516,14252,206,-316,74,rest
963,4440,760,14644,8,-83,-156,rest
1001,4780,660,14624,143,-345,-133,rest
1044,4632,720,14776,138,-113,-48,rest
1085,4944,492,14800,194,-252,-53,rest
1127,4904,584,14708,182,-192,-294,rest
1170,4660,524,14440,211,-49,-363,rest
1211,4292,772,14880,238,-161,-205,rest
1254,4636,696,14648,102,-178,-250,rest
1297,4632,640,14796,271,-43,1,rest
1335,4816,532,14516,285,-96,-192,rest
1377,4428,816,14700,382,-128,-200,rest
1419,4340,848,14604,332,-238,20,rest
1460,4392,700,14828,361,133,-7,rest
1500,4464,824,14548,301,319,-68,rest
1540,4516,792,15132,311,-77,-71,rest
1581,4564,548,14344,344,-371,-197,rest
1624,4272,892,14444,98,-116,-268,rest
1665,4364,776,14428,84,95,-131,rest
1704,4132,848,15372,285,80,-156,rest
1744,4528,812,14640,251,-76,-126,rest
1786,4352,720,14916,322,-185,-80,rest
1828,4596,688,14824,401,-166,-22,rest
1869,4464,744,14408,262,218,-284,rest
1911,4128,808,14588,342,429,-219,rest
1952,4460,728,14900,139,-173,-224,rest
1995,4188,848,14916,250,-221,-366,rest
2038,4092,804,14812,331,-131,-101,rest
2080,4100,884,14708,292,-356,55,rest
2121,4260,712,14724,233,-269,-172,rest
2164,4120,880,14620,190,-424,-189,rest
2206,4448,744,14796,207,-112,-208,rest
2249,3980,1000,14976,253,-253,-186,rest
2293,4224,844,15052,289,-474,-9,rest
2333,4372,716,14552,145,-329,-281,rest
2376,4016,968,14876,238,-84,-193,rest
2417,4192,820,14660,88,-383,-160,rest
2459,4216,832,14572,147,-241,-78,rest
2501,4296,804,15116,274,-278,-88,rest
2542,4500,772,14296,157,-521,-117,rest
2585,4316,700,14400,108,-230,-280,rest
2628,4268,872,14668,206,-290,-224,rest
2670,4276,988,15168,134,-231,-275,rest
2713,4360,828,14688,236,-256,-155,rest
2756,4276,852,14608,177,-293,-350,rest
2798,4412,820,14648,101,-140,-249,rest
2841,4208,700,14692,93,-190,-471,rest
2882,4064,808,15064,156,-220,-299,rest
2925,4160,856,14772,349,-349,-274,rest
2968,4164,836,14764,190,-142,-257,rest
3010,4068,940,14672,221,-380,-149,rest
3053,4308,768,14908,158,-34,-230,rest
3095,3976,952,14380,20,-317,-91,rest
3135,4340,792,15028,128,-205,49,rest
3176,4216,800,15012,247,-27,-298,rest
3217,4288,688,14728,190,-289,83,rest
3258,4480,688,14536,63,-83,-324,circ
3299,3792,868,14844,178,-279,-261,circ
3341,3880,856,14548,8,-71,-30,circ
3380,2856,980,15236,53,-358,320,circ
3421,2664,668,15376,379,-898,1065,circ
3463,604,1296,15200,653,-572,2416,circ
3506,1780,520,15484,925,-516,4362,circ
3548,2364,444,15000,923,-991,4255,circ
3591,1376,1200,15232,2212,-461,6687,circ
3636,4208,92,15036,1866,-2040,7724,circ
3679,4228,664,14832,2654,-2885,7938,circ
3724,5300,512,15524,3597,-2482,8295,circ
3769,6344,584,17164,2416,-3124,7067,circ
3813,6064,1292,16892,5758,-2722,5907,circ
3859,9352,1056,14420,4782,-2613,4386,circ
3905,9724,976,14468,5551,-1028,3264,circ
3949,9784,1896,14980,5529,-226,820,circ
3993,9264,2244,13256,5115,759,-2277,circ
4038,8048,3008,13824,5257,1028,-2718,circ
4083,8588,2772,13108,5471,789,-3610,circ
4128,9364,3140,12328,5026,77,-5328,circ
4172,7304,3960,12052,3415,123,-6792,circ
4216,7996,4040,12536,2778,56,-7781,circ
4260,7944,3872,12208,1725,-1450,-9764,circ
4307,6480,4008,10352,363,-1044,-11707,circ
4355,5120,4040,10772,-2322,-1057,-13024,circ
4403,2656,3672,10988,-3136,1054,-13451,circ
4451,1532,3440,11480,-3944,-415,-12126,circ
4499,-936,2708,10452,-6608,837,-12116,circ
4545,-2244,2808,12028,-7266,1114,-8687,circ
4593,-892,1376,13008,-7731,18,-8037,circ
4638,-2316,1824,15308,-7484,1106,-5338,circ
4686,-1660,1636,14004,-6730,914,-4165,circ
4732,-2416,2060,16288,-7836,-1181,-2378,circ
4782,-2068,1956,14472,-6520,-319,1065,circ
4829,-2032,1776,18588,-5723,-2016,2930,circ
4876,564,652,19136,-3146,-1254,4748,circ
4921,28,1208,18796,-1150,-3348,5329,circ
4966,1864,524,17920,1368,-2981,5507,circ
5010,2504,892,17320,1886,-4018,5293,circ
5055,2440,916,15364,2670,-2644,5080,circ
5100,3580,740,15400,2501,-360,4445,circ
5143,4100,732,15288,2516,-1067,4091,circ
5188,3240,768,14652,2471,-77,3420,circ
5231,3248,868,14436,1991,-381,3197,circ
5274,3552,756,14808,1578,-223,2799,circ
5318,4024,748,14688,1676,92,2579,circ
5360,4928,476,14136,1458,325,2161,circ
5402,4352,884,14648,1047,90,905,circ
5443,3896,1068,14308,1189,1134,1376,circ
5488,3604,1192,15528,562,949,181,rest
5529,4696,2952,2900,4649,-4021,228,rest
5573,3396,1652,13428,26,574,-113,rest
5614,3828,1208,14596,-171,-950,-427,rest
5659,2796,1388,14628,159,-896,-636,rest
5703,2396,1620,14708,113,56,-363,rest
5744,2724,1452,14720,384,180,-232,rest
5787,2748,1380,15048,63,-744,-168,rest
5830,2756,1476,15152,4,-53,-53,rest
5869,2732,1488,15372,80,-184,-157,rest
