5, 2844, 1204, 14880, 496, -90, -195
17, 2648, 1360, 14960, 396, -102, -361
30, 2448, 1500, 14848, 346, -124, -379
71, 2020, 1836, 15328, 562, -213, 164
112, 3012, 1468, 14368, 632, -451, -183
154, 2236, 1676, 14752, 110, -1055, -75
197, 2948, 1496, 14876, 381, -743, 105
239, 2728, 1740, 14264, -89, -535, -395
281, 2652, 1752, 15216, -155, -336, -337
325, 2624, 1624, 15232, -62, -199, -304
368, 2688, 1572, 15536, 297, -73, -345
409, 2336, 1508, 15140, 459, 268, -524
451, 2292, 1732, 15024, 285, -398, -40
493, 2784, 1704, 14704, 486, 154, -38
533, 2444, 1832, 14848, 497, -512, -109
576, 3428, 1220, 14668, 423, 15, 26
614, 2588, 1616, 14800, 115, -537, -561
657, 2544, 1624, 14956, 338, 125, -362
699, 2372, 1688, 14840, 235, -379, -291
741, 2476, 1828, 15096, 294, 58, -116
782, 2032, 2036, 14940, 293, -123, 123
823, 2932, 1616, 14980, 347, 0, 258
862, 2584, 1680, 15276, 218, -248, -330
905, 2504, 1852, 14992, 391, -258, 232
946, 2796, 1692, 14532, 377, -318, -166
989, 2228, 1892, 14592, 261, -333, -19
1031, 2864, 1508, 14808, -163, -464, 43
1073, 2424, 1716, 14656, 22, -48, -187
1115, 2728, 1680, 15236, -150, -138, -17
1159, 2604, 1568, 14992, 28, -312, -2
1199, 2908, 1488, 15600, 167, -441, -195
1243, 2708, 1724, 15044, 374, -215, -551
1286, 2204, 1940, 14788, 145, -589, -189
1330, 2524, 1960, 14904, 382, -27, -128
1373, 2300, 1800, 14712, 45, 27, -55
1412, 2868, 1608, 15036, 134, -403, 71
1454, 3048, 1520, 15208, 117, -258, -241
1498, 2580, 1620, 15240, 368, -397, -410
1541, 2480, 1776, 14864, 226, -527, -297
1585, 2552, 1688, 14544, 141, -468, -429
1629, 2408, 1784, 14564, 165, -95, -200
1671, 2412, 1684, 15116, -122, -513, -24
1715, 2712, 1608, 15072, 18, -363, -79
1757, 2848, 1468, 15180, 142, -335, -97
1799, 2820, 1432, 15100, 222, -465, -172
1843, 2588, 1660, 14692, 180, -344, -409
1886, 2340, 1784, 14736, 152, -384, -217
1930, 2476, 1816, 14904, 104, -84, 57
1971, 2432, 1744, 14708, -5, -594, 276
2012, 3092, 1336, 15176, 182, -81, -152
2055, 2620, 1580, 14888, 215, -12, -326
2098, 2944, 1472, 14620, 147, -328, -181
2141, 2784, 1676, 14844, 141, -154, -458
2185, 2468, 1628, 15144, 107, -339, -349
2229, 2592, 1488, 14812, 46, -307, -449
2271, 2524, 1640, 15276, 223, -66, -381
2314, 2368, 1768, 14948, 179, -210, -249
2358, 2600, 1552, 15196, 247, -182, -141
2401, 2764, 1368, 14976, 377, -188, -125
2445, 2708, 1456, 15068, 384, -306, -406
2489, 2500, 1720, 14824, 206, -333, -179
2532, 2656, 1468, 14684, 279, 81, -309
2574, 2480, 1772, 15204, -31, -372, -208
2617, 2724, 1652, 15072, 426, -129, -93
2660, 2360, 1592, 15096, 163, -363, -292
2704, 2864, 1536, 14756, 233, -285, -127
2747, 2524, 1632, 14720, 227, -333, -184
2791, 2640, 1656, 14656, 72, -252, -322
2834, 2448, 1620, 14796, 48, -226, -76
2875, 2568, 1536, 15392, 46, -236, -248
2918, 2528, 1740, 14856, 233, -249, -49
2961, 2496, 1656, 15172, 191, -400, -180
3004, 2812, 1412, 14984, 271, -58, -102
3047, 2524, 1580, 14768, 249, -234, -533
3091, 2324, 1580, 14728, 171, -112, -84
3133, 2468, 1692, 15000, 343, -173, -290
3177, 2524, 1652, 14808, 268, -383, 109
3219, 2788, 1428, 14864, 333, -221, -186
3263, 2620, 1624, 14620, 72, -357, -306
3306, 2724, 1500, 15128, 152, -286, -375
3349, 2356, 1704, 14776, 244, -135, -492
3393, 2212, 1780, 15156, 205, -496, -39
3436, 2600, 1604, 14932, 200, -223, 68
3477, 2472, 1720, 14816, 261, -212, -5
3519, 2832, 1616, 14928, 159, -332, 1
3560, 2764, 1452, 14964, 297, -180, -133
3603, 2844, 1512, 14832, 238, -439, -340
3647, 2424, 1664, 14532, 96, -349, -403
3690, 2476, 1720, 15152, 284, -106, -266
3733, 2324, 1588, 14944, 219, -730, 37
3775, 3016, 1332, 14464, 147, -305, -71
3817, 2616, 1768, 15004, -17, -135, -172
3861, 2244, 1860, 15472, 189, -179, -202
3905, 2720, 1580, 14808, 291, -195, 7
3945, 2612, 1600, 15100, 394, -244, -42
3988, 2528, 1688, 14508, 246, -312, -45
4031, 2852, 1432, 14824, -16, -288, -63
4073, 2580, 1656, 14748, 75, -163, -111
4116, 2496, 1564, 15068, 33, -386, -240
4159, 2852, 1488, 14956, 89, -160, -80
4200, 2524, 1444, 14704, -50, -594, -230
4244, 2464, 1580, 14804, 105, -114, -116
